YEAR,Car_Age,MILEAGE,CAR_PRICE
2019,4,23105,28950
2018,5,47538,26991
2020,3,20509,39497
2021,2,35080,31527
2022,1,26133,36000
2019,4,52312,23488
2018,5,49466,29995
2022,1,43497,38889
2021,2,30823,39997
2020,3,31180,27490
